year,state,typical_home_value
2019,Maryland,311569.374463
2019,Massachusetts,417728.329479
2019,Michigan,164038.950244
2019,Minnesota,247269.723429
2019,Mississippi,135903.761187
2019,Missouri,161807.534443
2019,Montana,262975.057890
2019,Nebraska,174646.560529
2019,Nevada,297972.216534
2019,New Hampshire,277609.144084
2019,New Jersey,344691.833505
2019,New Mexico,192203.128489
2019,New York,340698.292106
2019,North Carolina,200754.172591
2019,North Dakota,219682.286475
2019,Ohio,149308.935022
2019,Oklahoma,134586.101659
2019,Oregon,354203.847124
2019,Pennsylvania,183514.007260
2019,Rhode Island,289314.461491
2019,South Carolina,186861.645786
2019,South Dakota,203503.857876
2019,Tennessee,194881.480054
2019,Texas,209143.236378
2019,Utah,333928.957793
2019,Vermont,259026.108975
2019,Virginia,269402.024761
2019,Washington,391308.363283
2019,West Virginia,116694.023313
2019,Wisconsin,201522.455309
2019,Wyoming,247538.852239
2020,Alabama,167571.704157
2020,Alaska,316775.905641
2020,Arizona,292212.066129
2020,Arkansas,154848.382482
2020,California,563771.237221
2020,Colorado,409281.913097
2020,Connecticut,265009.165586
2020,Delaware,276946.152491
2020,District of Columbia,595133.685889
2020,Florida,254098.714934
2020,Georgia,214222.828616
2020,Hawaii,621565.675113
2020,Idaho,307303.926712
2020,Illinois,197299.855780
2020,Indiana,165300.488160
2020,Iowa,163168.837594
2020,Kansas,159193.638517
2020,Kentucky,147663.922293
2020,Louisiana,188014.825669
2020,Maine,250575.866089
2020,Maryland,326304.706979
2020,Massachusetts,439142.067621
2020,Michigan,174584.810958
2020,Minnesota,261252.214483
2020,Mississippi,142514.612934
2020,Missouri,172720.003730
2020,Montana,284415.212295
2020,Nebraska,186404.023395
2020,Nevada,309411.532587
2020,New Hampshire,298909.932276
2020,New Jersey,363837.633475
2020,New Mexico,207357.530301
2020,New York,357452.199441
2020,North Carolina,216137.236053
2020,North Dakota,226651.405177
2020,Ohio,159955.961302
2020,Oklahoma,144361.808723
2020,Oregon,375867.208306
2020,Pennsylvania,195835.280857
2020,Rhode Island,308308.050472
2020,South Carolina,199642.816827
2020,South Dakota,216263.943663
2020,Tennessee,211422.109590
2020,Texas,220290.639214
2020,Utah,363772.479120
2020,Vermont,273595.094086
2020,Virginia,284862.906720
2020,Washington,425377.798996
2020,West Virginia,121856.892154
2020,Wisconsin,215211.975513
2020,Wyoming,263432.215999
2021,Alabama,190551.728193
2021,Alaska,333149.287551
2021,Arizona,361376.546836
2021,Arkansas,174769.048528
2021,California,651853.836817
2021,Colorado,472826.727082
2021,Connecticut,304583.909982
2021,Delaware,317813.789274
2021,District of Columbia,629796.505776
2021,Florida,296020.640638
2021,Georgia,253111.404533
2021,Hawaii,695678.368221
2021,Idaho,409595.393206
2021,Illinois,217919.947236
2021,Indiana,190160.458643
2021,Iowa,178408.530724
2021,Kansas,178842.436984
2021,Kentucky,166928.590698
2021,Louisiana,197661.645596
2021,Maine,302601.084837
2021,Maryland,364664.160712
2021,Massachusetts,500053.217633
2021,Michigan,200283.397405
2021,Minnesota,293130.845221
2021,Mississippi,159033.419422
2021,Missouri,198235.150714
2021,Montana,354304.259116
2021,Nebraska,210414.532653
2021,Nevada,359820.630315
2021,New Hampshire,354852.185782
2021,New Jersey,413187.417992
2021,New Mexico,239505.212437
2021,New York,396220.497802
2021,North Carolina,254509.445144
2021,North Dakota,237337.755411
2021,Ohio,182524.161994
2021,Oklahoma,163974.452697
2021,Oregon,440237.020151
2021,Pennsylvania,221116.129935
2021,Rhode Island,358111.222508
2021,South Carolina,229797.681998
2021,South Dakota,246079.812592
2021,Tennessee,246347.347714
2021,Texas,252516.240935
2021,Utah,446795.567475
2021,Vermont,316110.472474
2021,Virginia,320226.144468
2021,Washington,505637.260973
2021,West Virginia,138312.477980
2021,Wisconsin,243277.760443
2021,Wyoming,289975.703000
2022,Alabama,214412.920021
2022,Alaska,355878.241800
2022,Arizona,436440.749345
2022,Arkansas,195233.379204
2022,California,740168.042202
2022,Colorado,543408.885132
2022,Connecticut,339342.020994
2022,Delaware,354242.370797
2022,District of Columbia,641814.461140
2022,Florida,369900.129625
2022,Georgia,304828.364643
2022,Hawaii,820201.091911
2022,Idaho,468031.387992
2022,Illinois,238469.149904
2022,Indiana,215726.625446
2022,Iowa,197353.283690
2022,Kansas,200955.050654
2022,Kentucky,185104.131431
2022,Louisiana,208466.403699
2022,Maine,348147.184630
2022,Maryland,392063.680189
2022,Massachusetts,551628.493151
2022,Michigan,220795.004849
2022,Minnesota,319071.101728
2022,Mississippi,175046.381975
2022,Missouri,223616.212098
2022,Montana,428252.422562
2022,Nebraska,233711.578532
2022,Nevada,431743.739162
2022,New Hampshire,407779.865169
2022,New Jersey,456289.369960
2022,New Mexico,273671.380992
2022,New York,431886.700332
2022,North Carolina,302086.363865
2022,North Dakota,254151.406603
2022,Ohio,201777.046385
2022,Oklahoma,186519.746363
2022,Oregon,492058.854848
2022,Pennsylvania,241543.338774
2022,Rhode Island,401377.952474
2022,South Carolina,271516.030249
2022,South Dakota,284207.116552
2022,Tennessee,293422.653556
2022,Texas,297519.359511
2022,Utah,523421.094659
2022,Vermont,358453.174941
2022,Virginia,352335.585571
2022,Washington,575496.797668
2022,West Virginia,150269.422074
2022,Wisconsin,267124.786983
2022,Wyoming,321046.654803
2023,Alabama,220033.994763
2023,Alaska,359283.485997
2023,Arizona,418266.385252
2023,Arkansas,200044.290067
2023,California,730595.817543
2023,Colorado,533183.477047
2023,Connecticut,364434.300094
2023,Delaware,368238.897123
2023,District of Columbia,618125.863571
2023,Florida,386228.979518
2023,Georgia,314376.632300
2023,Hawaii,823309.281119
2023,Idaho,439193.257111
2023,Illinois,245652.441726
2023,Indiana,224765.835569
2023,Iowa,204882.694422
2023,Kansas,211394.417689
2023,Kentucky,193847.630909
2023,Louisiana,203950.340761
2023,Maine,369190.760308
2023,Maryland,401196.254789
2023,Massachusetts,573005.340329
2023,Michigan,226435.009720
2023,Minnesota,321469.369686
2023,Mississippi,173903.106459
2023,Missouri,232320.917429
2023,Montana,429822.727581
2023,Nebraska,245637.304760
2023,Nevada,413728.168338
2023,New Hampshire,434528.425048
2023,New Jersey,482872.469889
2023,New Mexico,285780.724215
2023,New York,440910.458829
2023,North Carolina,313452.243272
2023,North Dakota,256743.764938
2023,Ohio,210892.579358
2023,Oklahoma,194839.535720
2023,Oregon,483011.617150
2023,Pennsylvania,249876.303622
2023,Rhode Island,422583.696641
2023,South Carolina,283541.954315
2023,South Dakota,292470.448554
2023,Tennessee,302952.074962
2023,Texas,299786.711255
2023,Utah,506607.086700
2023,Vermont,377128.709606
2023,Virginia,366373.244189
2023,Washington,562086.000732
2023,West Virginia,154537.476859
2023,Wisconsin,283452.130833
2023,Wyoming,332973.677888
2024,Alabama,223799.869205
2024,Alaska,364511.823943
2024,Arizona,428266.436152
2024,Arkansas,206063.906780
2024,California,767469.776287
2024,Colorado,539261.005104
2024,Connecticut,397745.220238
2024,Delaware,380234.690892
2024,District of Columbia,606493.241456
2024,Florida,392982.065453
2024,Georgia,325209.329053
2024,Hawaii,837068.156766
2024,Idaho,446543.984532
2024,Illinois,260304.230659
2024,Indiana,235110.727718
2024,Iowa,212419.603756
2024,Kansas,221478.712372
2024,Kentucky,202289.564122
2024,Louisiana,199529.608198
2024,Maine,390637.861350
2024,Maryland,413861.408007
2024,Massachusetts,613042.921794
2024,Michigan,237401.427227
2024,Minnesota,327019.173900
2024,Mississippi,176327.766681
2024,Missouri,241199.600736
2024,Montana,445779.150266
2024,Nebraska,254822.170835
2024,Nevada,432340.750320
2024,New Hampshire,466162.711283
2024,New Jersey,523610.378795
2024,New Mexico,297832.910456
2024,New York,468665.056720
2024,North Carolina,324283.657014
2024,North Dakota,259449.336772
2024,Ohio,223429.072246
2024,Oklahoma,201338.799387
2024,Oregon,489140.387582
2024,Pennsylvania,261044.179533
2024,Rhode Island,454327.437644
2024,South Carolina,292481.036926
2024,South Dakota,298819.478051
2024,Tennessee,313756.210229
2024,Texas,300335.978608
2024,Utah,513522.357564
2024,Vermont,389081.395795
2024,Virginia,384555.898690
2024,Washington,580319.010980
2024,West Virginia,162207.137012
2024,Wisconsin,297702.544983
2024,Wyoming,343417.008623
